USELESS AFL STATS - EPL LADDER,,,,,,,
POS,,TEAM,WIN,DRAW,LOSS,GD,PTS
1,,Geelong,16,2,4,88,50
2,,West Coast,16,1,5,43,49
3,,Richmond,15,1,6,31,46
4,,Brisbane,13,4,5,45,43
5,,Collingwood,11,5,6,44,38
6,,Essendon,11,3,8,-6,36
7,,GWS,11,2,9,40,35
8,,Western Bulldogs,11,1,10,15,34
9,,Port Adelaide,11,0,11,8,33
10,,North Melbourne,10,2,10,0,32
11,,Hawthorn,9,4,9,22,31
12,,Adelaide,10,1,11,4,31
13,,Sydney,8,3,11,2,27
14,,Fremantle,7,5,10,-20,26
15,,Carlton,6,5,11,-45,23
16,,St Kilda,5,4,13,-61,19
17,,Gold Coast,2,3,17,-136,9
18,,Melbourne,2,2,18,-74,8
