"","id","first_name","surname","handballs","deb","games"
"1",1999,"Kelvin","Moore",1,1970-08-29,85
"2",990,"Tony","Lockett",1,1983-04-24,82
"3",304,"Dustin","Fletcher",2,1993-05-01,81
"4",1999,"Kelvin","Moore",0,1970-08-22,80
"5",304,"Dustin","Fletcher",3,1993-05-15,79
"6",336,"Matthew","Lloyd",2,1995-09-16,78
"7",104,"Alastair","Lynch",2,1988-04-23,77
"8",990,"Tony","Lockett",2,1983-04-16,77
"9",806,"Drew","Petrie",3,2001-05-04,72
"10",228,"Saverio","Rocca",1,1992-07-04,69
"11",1585,"Rod","Carter",2,1974-08-17,69
"12",304,"Dustin","Fletcher",4,1993-05-22,68
"13",228,"Saverio","Rocca",2,1992-07-17,67
"14",978,"Stephen","Milne",2,2001-06-08,67
"15",1998,"Michael","Moncrieff",1,1972-08-12,66
"16",806,"Drew","Petrie",4,2002-07-13,65
"17",1585,"Rod","Carter",1,1974-06-22,65
"18",1998,"Michael","Moncrieff",0,1971-04-10,65
"19",632,"Jason","Dunstall",1,1985-04-21,64
"20",632,"Jason","Dunstall",2,1985-04-08,64
"21",927,"Stewart","Loewe",3,1986-05-24,64
"22",953,"Barry","Hall",2,1998-04-05,64
"23",339,"Scott","Lucas",3,1996-07-06,63
"24",422,"Chris","Grant",3,1990-05-05,63
"25",689,"David","Neitz",3,1993-04-17,63
"26",196,"Brendan","Fevola",1,1999-07-25,62
"27",567,"Gary","Ablett",1,1982-04-03,62
"28",870,"Matthew","Richardson",2,1993-06-12,62
"29",1302,"Simon","Madden",2,1974-08-10,62
"30",1319,"Michael","Tuck",4,1974-06-08,62
"31",1517,"Simon","Beasley",1,1982-05-08,62
"32",104,"Alastair","Lynch",1,1988-05-14,61
"33",757,"Mick","Martyn",2,1988-04-30,61
"34",1030,"Peter","Sumich",0,1989-04-09,61
"35",1944,"Alan","Martello",2,1970-05-16,61
"36",104,"Alastair","Lynch",3,1988-07-30,60
"37",422,"Chris","Grant",4,1990-04-21,60
"38",689,"David","Neitz",1,1995-05-05,60
"39",777,"Glenn","Archer",3,1993-04-23,60
"40",978,"Stephen","Milne",1,2001-04-28,60
"41",1302,"Simon","Madden",3,1976-06-05,60
"42",1496,"Rod","Austin",1,1973-05-26,60
"43",4169,"Josh","Kennedy",2,2006-05-14,60
"44",80,"Scott","Welsh",2,1998-04-04,59
"45",253,"Richard","Osborne",1,1982-07-03,59
"46",2145,"Wayne","Schimmelbusch",5,1973-04-25,59
"47",4086,"Travis","Cloke",2,2005-05-08,59
"48",1319,"Michael","Tuck",5,1976-04-24,58
"49",14,"Tony","Modra",1,1992-08-02,57
"50",632,"Jason","Dunstall",3,1985-07-06,57
"51",2114,"Michael","Roach",1,1978-05-06,57
"52",4060,"Eddie","Betts",5,2006-04-15,57
"53",339,"Scott","Lucas",2,1996-05-08,56
"54",922,"Peter","Everitt",3,1993-04-03,56
"55",953,"Barry","Hall",4,1996-08-10,56
"56",1736,"Garry","Foulds",2,1974-08-31,56
"57",2230,"Michael","Turner",3,1974-06-08,56
"58",22,"Ben","Hart",4,1992-07-19,55
"59",148,"Stephen","Kernahan",3,1986-04-12,55
"60",421,"Brad","Johnson",5,1994-08-27,55
"61",867,"Stuart","Maxfield",2,1992-04-05,55
"62",981,"Nick","Riewoldt",4,2001-07-21,55
"63",1585,"Rod","Carter",0,1974-07-13,55
"64",1999,"Kelvin","Moore",2,1971-05-15,55
"65",14,"Tony","Modra",0,1992-04-11,54
"66",150,"Justin","Madden",2,1980-07-12,54
"67",297,"Shane","Wakelin",3,1994-06-11,54
"68",451,"Paul","Hudson",3,1990-04-28,54
"69",567,"Gary","Ablett",2,1984-03-31,54
"70",689,"David","Neitz",2,1993-04-03,54
"71",922,"Peter","Everitt",2,1993-08-01,54
"72",1012,"Adam","Goodes",4,1999-06-27,54
"73",1034,"Ashley","McIntosh",2,1991-06-01,54
"74",2210,"Kelvin","Templeton",0,1974-05-11,54
"75",4060,"Eddie","Betts",4,2005-04-29,54
"76",134,"Daniel","Bradshaw",1,1997-06-09,53
"77",253,"Richard","Osborne",2,1983-09-03,53
"78",772,"Anthony","Stevens",5,1989-08-19,53
"79",806,"Drew","Petrie",2,2001-06-10,53
"80",868,"Brendon","Gale",5,1990-06-16,53
"81",953,"Barry","Hall",3,1996-05-26,53
"82",1000,"Michael","OLoughlin",4,1995-06-03,53
"83",1038,"Glen","Jakovich",5,1991-06-09,53
"84",1418,"Jarrad","Waite",4,2003-06-08,53
"85",1944,"Alan","Martello",1,1970-07-04,53
"86",2230,"Michael","Turner",2,1974-05-04,53
"87",11576,"Jack","Riewoldt",2,2007-07-08,53
"88",297,"Shane","Wakelin",2,1994-04-09,52
"89",639,"Chris","Langford",3,1983-06-04,52
"90",777,"Glenn","Archer",2,1992-04-18,52
"91",831,"Warren","Tredrea",3,1998-04-19,52
"92",867,"Stuart","Maxfield",3,1990-08-12,52
"93",976,"Fraser","Gehrig",2,1995-04-09,52
"94",981,"Nick","Riewoldt",5,2001-07-28,52
"95",4086,"Travis","Cloke",3,2005-04-25,52
"96",11576,"Jack","Riewoldt",3,2007-05-26,52
"97",253,"Richard","Osborne",3,1983-05-21,51
"98",429,"Rohan","Smith",5,1992-05-23,51
"99",714,"Adem","Yze",3,1995-07-28,51
"100",1319,"Michael","Tuck",3,1972-05-27,51
"101",1390,"John","Law",2,1978-07-08,51
"102",1944,"Alan","Martello",3,1970-04-11,51
"103",22,"Ben","Hart",3,1992-04-04,50
"104",111,"Shaun","Hart",5,1990-06-02,50
"105",560,"Peter","Riccardi",4,1992-05-03,50
"106",757,"Mick","Martyn",3,1988-07-10,50
"107",759,"David","King",3,1994-04-30,50
"108",762,"John","Blakey",3,1986-05-10,50
"109",778,"Ian","Fairley",2,1983-05-07,50
"110",1000,"Michael","OLoughlin",5,1995-05-13,50
"111",1109,"Paul","Medhurst",2,2002-03-31,50
"112",1736,"Garry","Foulds",3,1974-06-01,50
"113",1968,"David","McKay",2,1970-04-04,50
"114",2210,"Kelvin","Templeton",1,1974-04-20,50
"115",4065,"Lance","Franklin",3,2005-05-08,50
"116",4169,"Josh","Kennedy",3,2006-07-08,50
"117",22,"Ben","Hart",5,1992-04-11,49
"118",107,"Roger","Merrett",3,1980-04-12,49
"119",158,"Dean","Rice",4,1987-05-02,49
"120",196,"Brendan","Fevola",2,2000-03-13,49
"121",228,"Saverio","Rocca",0,1992-06-21,49
"122",251,"Anthony","Rocca",2,1995-07-02,49
"123",1302,"Simon","Madden",4,1975-08-09,49
"124",1621,"Mick","Conlan",1,1977-08-06,49
"125",1863,"Peter","Keenan",1,1970-04-04,49
"126",136,"Stephen","Silvagni",3,1985-07-06,48
"127",136,"Stephen","Silvagni",4,1985-06-10,48
"128",150,"Justin","Madden",1,1980-06-21,48
"129",150,"Justin","Madden",4,1981-05-02,48
"130",249,"Simon","Prestigiacomo",2,1996-06-28,48
"131",336,"Matthew","Lloyd",3,1996-04-07,48
"132",468,"Robert","Murphy",5,2000-07-15,48
"133",501,"Shane","Parker",4,1996-07-14,48
"134",870,"Matthew","Richardson",1,1993-08-07,48
"135",976,"Fraser","Gehrig",3,1995-07-30,48
"136",978,"Stephen","Milne",3,2001-04-21,48
"137",990,"Tony","Lockett",0,1983-07-30,48
"138",1872,"Trevor","Keogh",1,1970-05-02,48
"139",1949,"Leigh","Matthews",4,1970-06-06,48
"140",2183,"Geoff","Southby",2,1971-04-03,48
"141",11548,"Tom","Hawkins",3,2007-05-13,48
"142",22,"Ben","Hart",2,1992-03-22,47
"143",136,"Stephen","Silvagni",2,1985-05-12,47
"144",421,"Brad","Johnson",3,1994-07-23,47
"145",544,"Matthew","Pavlich",5,2000-07-16,47
"146",703,"Jeff","Farmer",3,1995-04-08,47
"147",757,"Mick","Martyn",1,1988-05-15,47
"148",760,"John","Longmire",2,1988-07-02,47
"149",983,"Andrew","Dunkley",4,1993-04-04,47
"150",1012,"Adam","Goodes",3,1999-04-17,47
"151",1313,"Bernard","Toohey",4,1981-05-23,47
"152",1736,"Garry","Foulds",4,1976-07-31,47
"153",2145,"Wayne","Schimmelbusch",4,1973-05-12,47
"154",4132,"Heath","Shaw",5,2005-08-26,47
"155",114,"Darryl","White",5,1992-03-28,46
"156",119,"Jason","Akermanis",5,1997-04-13,46
"157",264,"Chris","Tarrant",3,1998-08-09,46
"158",299,"James","Clement",2,1997-04-25,46
"159",304,"Dustin","Fletcher",1,1993-04-03,46
"160",314,"Paul","Salmon",2,1983-03-27,46
"161",339,"Scott","Lucas",4,1996-04-25,46
"162",587,"Steven","King",5,1996-06-15,46
"163",639,"Chris","Langford",2,1984-04-07,46
"164",731,"Russell","Robertson",2,1998-04-13,46
