"","team","W","D","L","%","P"
"1","Hawthorn",21,2,12,100.99173553719,88
"2","Geelong",20,2,13,100.314564328405,84
"3","Fremantle",14,1,8,101.159420289855,58
"4","Port Adelaide",13,2,15,100.230858022316,56
"5","Western Bulldogs",13,0,8,101.070422535211,52
"6","West Coast",12,2,11,100.344318740777,52
"7","Sydney",12,2,14,100.088417329797,52
"8","Essendon",12,2,12,99.9125874125874,52
"9","St Kilda",10,6,12,99.5134896063689,52
"10","Melbourne",11,2,13,99.6529284164859,48
"11","Carlton",11,2,12,99.2481203007519,48
"12","Brisbane Lions",11,0,11,99.9490575649516,44
"13","Collingwood",9,4,15,98.4982332155477,44
"14","Greater Western Sydney",9,3,4,101.290322580645,42
"15","Adelaide",10,1,10,99.9493414387031,42
"16","Gold Coast",9,1,9,100.592885375494,38
"17","Richmond",7,2,14,99.1124260355029,32
"18","North Melbourne",8,0,19,98.9281460897181,32
