"","playing_for","W","D","L","%","P"
"1","Geelong",15,0,7,126.11,60
"2","Sydney",14,1,7,117.61,58
"3","Port Adelaide",14,0,8,135.76,56
"4","West Coast",13,1,8,103.07,54
"5","Brisbane Lions",13,0,9,114.79,52
"6","Essendon",12,0,10,107.07,48
"7","Greater Western Sydney",11,1,10,129.26,46
"8","Western Bulldogs",11,1,10,109.29,46
"9","Richmond",11,1,10,98.85,46
"10","Hawthorn",11,1,10,90.17,46
"11","North Melbourne",10,1,11,100.86,42
"12","St Kilda",10,0,12,90.11,40
"13","Adelaide",8,2,12,97.16,36
"14","Carlton",9,0,13,92.91,36
"15","Gold Coast",8,1,13,81.16,34
"16","Collingwood",8,0,14,84.11,32
"17","Fremantle",8,0,14,70.78,32
"18","Melbourne",7,0,15,75.72,28
