"","x"
"1",17429.995340582
"2",30456.8250444852
"3",28652.6177456599
"4",33422.1714101154
"5",34020.5434265402
"6",30035.9152635579
"7",37680.3988522407
"8",31500.3939944067
"9",25340.8238030104
"10",11169.0612283458
"11",26975.7200294487
"12",31260.8609334385
"13",21238.2212644865
"14",38545.2216996754
"15",28221.2716203369
"16",19443.4427759567
"17",30422.6782240696
"18",17207.828900273
"19",15809.367828914
"20",21459.6805121981
"21",29416.4678661833
"22",17841.1226959816
"23",27194.2017288536
"24",17039.1644183566
"25",34662.567950177
"26",34964.0056032421
"27",30585.528229326
"28",18756.5527935958
"29",30216.3871869805
"30",35396.8155049037
"31",33975.140404159
"32",29719.8750803978
"33",26753.6341124013
"34",20096.8409098833
"35",12278.8703314493
"36",19217.2147360346
"37",27754.7955673563
"38",21305.7037431042
"39",28489.2697654014
"40",16680.4636271582
"41",26826.6328342628
"42",34040.6299743278
"43",33575.2428997996
"44",33536.6866335581
"45",32891.7376246496
"46",22391.0082504091
"47",21535.5354237911
"48",25173.7726849398
"49",12414.9924698303
"50",34561.4607378115
"51",31594.7702259001
"52",30293.4786878479
"53",14385.2208648064
"54",23292.8810427307
"55",28446.3241754289
"56",23808.3120777526
"57",25464.3970188928
"58",14072.6589863153
"59",16632.2886128247
"60",27131.0962455122
"61",26849.3583249539
"62",23555.1024363092
"63",26051.7347666131
"64",23624.5733328016
"65",28477.1751127592
"66",26394.3326277792
"67",16822.0075721333
"68",24482.8325840434
"69",28771.6745615325
"70",31282.8619050861
"71",27955.0601302986
"72",36930.6678977266
"73",34707.1006711884
"74",20249.7009058524
"75",23879.2417869082
"76",32422.1440447246
"77",24632.3260877059
"78",34656.0879498105
"79",34028.1456063262
"80",38238.0953416206
"81",20359.9840819386
"82",13840.8089632881
"83",36851.9733433888
"84",38203.662322591
"85",21376.6318819554
"86",27691.8520997061
"87",24316.1638018397
"88",26702.14117969
"89",28439.2338294928
"90",21177.4962134831
"91",22889.2523841284
"92",16471.0162913231
"93",14870.9384954186
"94",18204.1886701385
"95",20715.9228938353
"96",35782.3019529501
"97",23198.7654769856
"98",21287.5693773653
"99",28902.4996608836
"100",22171.8947361742
"101",16219.0194868583
"102",35629.3213307019
"103",28722.0543667037
"104",30382.0022771518
"105",26418.6461842421
"106",19577.1495554819
"107",33758.7900614901
"108",31282.484067914
"109",31862.967786096
"110",33661.7760942307
"111",24319.8831904243
"112",34900.5587453716
"113",20375.5974866985
"114",17372.5808265967
"115",25925.7080444674
"116",31524.9380025602
"117",27844.7565383479
"118",13318.0604156618
"119",28365.2817649735
"120",13846.4557824672
"121",15155.2153752136
"122",34062.9048810908
"123",22884.5864216223
"124",20848.6599837482
"125",23493.0346476328
