"","playing_for","W","D","L","%","win_rate"
"1","Hawthorn",147,2,72,123.45,66.52
"2","Geelong",139,2,68,123.21,66.51
"3","West Coast",135,1,81,115.77,62.21
"4","Sydney",130,2,80,119.23,61.32
"5","Collingwood",117,3,80,113.32,58.5
"6","Richmond",111,3,90,104.9,54.41
"7","Fremantle",115,1,100,98.77,53.24
"8","Adelaide",117,0,104,108.85,52.94
"9","Port Adelaide",109,1,107,101.49,50.23
"10","Western Bulldogs",98,0,103,98.24,48.76
"11","Essendon",94,3,102,94,47.24
"12","North Melbourne",88,0,108,97.88,44.9
"13","Greater Western Sydney",69,3,93,84.82,41.82
"14","St Kilda",81,5,117,91.38,39.9
"15","Melbourne",75,2,122,85,37.69
"16","Carlton",69,2,119,89.93,36.32
"17","Brisbane Lions",68,0,127,81.75,34.87
"18","Gold Coast",47,2,136,74.5,25.41
