"","gameid","n","avg_conf","max_conf","min_conf","year","round","hteam","ateam","tip"
"1",3202,17,80.8723529411765,90.48,69.6,2019,11,"Collingwood","Fremantle","Collingwood"
"2",3264,17,78.4611764705882,84.35,70.8,2019,15,"Fremantle","Carlton","Fremantle"
"3",3103,17,77.8035294117647,86.55,58.78,2019,3,"Western Bulldogs","Gold Coast","Western Bulldogs"
"4",3122,17,77.2005882352941,86,52.42,2019,5,"Greater Western Sydney","Fremantle","Greater Western Sydney"
"5",3288,17,74.45,82.55,56.6,2019,17,"Sydney","Carlton","Sydney"
"6",3055,17,73.2570588235294,84.6,61.08,2019,1,"Melbourne","Port Adelaide","Melbourne"
"7",3269,17,72.2682352941176,84,56.5,2019,16,"Western Bulldogs","Geelong","Geelong"
"8",3261,17,71.5476470588235,83.12,56.46,2019,15,"Port Adelaide","Western Bulldogs","Port Adelaide"
"9",3286,17,71.1370588235294,83,59,2019,16,"Greater Western Sydney","Brisbane Lions","Greater Western Sydney"
"10",3335,17,70.7605882352941,81.2,50.3,2019,20,"Fremantle","Geelong","Geelong"
"11",3260,17,69.0476470588235,82.52,60.6,2019,15,"Collingwood","North Melbourne","Collingwood"
"12",3305,17,68.3229411764706,82.93,51.52,2019,18,"Geelong","Hawthorn","Geelong"
"13",3220,17,67.4494117647059,83,57.1,2019,12,"Carlton","Brisbane Lions","Brisbane Lions"
"14",3064,17,67.3135294117647,85.63,55.6,2019,2,"Essendon","St Kilda","Essendon"
"15",3287,17,65.6811764705882,77.31,52.95,2019,17,"West Coast","Collingwood","West Coast"
"16",3369,17,65.4482352941177,77.31,51.32,2019,23,"West Coast","Hawthorn","West Coast"
"17",3118,17,65.3788235294118,78.3,56.7,2019,4,"St Kilda","Hawthorn","Hawthorn"
"18",3307,17,65.2458823529412,75,51.72,2019,18,"St Kilda","Western Bulldogs","Western Bulldogs"
"19",3299,17,65.06,73.49,59.17,2019,18,"Adelaide","Essendon","Adelaide"
"20",3298,17,64.2258823529412,80.6,52.96,2019,17,"Port Adelaide","Brisbane Lions","Port Adelaide"
"21",3265,17,59.1552941176471,65.07,51.12,2019,16,"Hawthorn","Collingwood","Collingwood"
"22",3125,16,72.2425,86.8,57.48,2019,5,"Western Bulldogs","Carlton","Western Bulldogs"
"23",3069,16,71.025,80.59,55.6,2019,2,"Hawthorn","Western Bulldogs","Hawthorn"
"24",3121,16,70.05375,81,62.3,2019,5,"West Coast","Port Adelaide","West Coast"
"25",3154,16,67.94875,80.37,50.58,2019,7,"Western Bulldogs","Richmond","Richmond"
"26",3341,16,66.821875,78.33,50.3,2019,21,"Greater Western Sydney","Hawthorn","Greater Western Sydney"
"27",3123,16,66.646875,80.75,53.17,2019,5,"Melbourne","St Kilda","Melbourne"
"28",4081,16,66.56625,78.09,57.2,2019,26,"Collingwood","Greater Western Sydney","Collingwood"
"29",3108,16,65.864375,75.78,54.86,2019,4,"Geelong","Greater Western Sydney","Geelong"
"30",3245,16,64.2275,79.8,52.61,2019,14,"Port Adelaide","Geelong","Geelong"
"31",3201,16,62.985625,73.53,51.46,2019,11,"North Melbourne","Richmond","Richmond"
"32",3061,16,62.035625,75.43,50.2,2019,1,"Fremantle","North Melbourne","North Melbourne"
"33",3321,16,61.99875,69.2,55.5,2019,19,"Carlton","Adelaide","Adelaide"
"34",3329,16,60.655,75,50.64,2019,20,"Essendon","Port Adelaide","Essendon"
"35",3089,16,60.365625,69.54,54.2,2019,3,"Melbourne","Essendon","Melbourne"
"36",3968,16,60.124375,68.63,51.12,2019,25,"Brisbane Lions","Greater Western Sydney","Brisbane Lions"
"37",3247,16,57.62125,64.1,50,2019,15,"Essendon","Greater Western Sydney","Greater Western Sydney"
"38",3184,15,66.9153333333333,81.3,57.89,2019,9,"North Melbourne","Sydney","North Melbourne"
"39",3102,15,66.802,82.93,57.12,2019,3,"Collingwood","West Coast","Collingwood"
"40",3195,15,63.656,79.15,55.6,2019,10,"Adelaide","West Coast","Adelaide"
"41",3159,15,63.5293333333333,72.91,52.7,2019,8,"Sydney","Essendon","Essendon"
"42",3087,15,61.9833333333333,81.5,52.78,2019,2,"Gold Coast","Fremantle","Fremantle"
"43",3364,15,58.4106666666667,67.9,51,2019,22,"Fremantle","Essendon","Fremantle"
"44",3148,15,56.7786666666667,71.94,51.25,2019,7,"Melbourne","Hawthorn","Hawthorn"
"45",3056,14,64.0271428571429,74.23,56.56,2019,1,"Adelaide","Hawthorn","Adelaide"
"46",3058,14,63.18,79.05,50.01,2019,1,"Brisbane Lions","West Coast","West Coast"
"47",3366,14,62.0678571428571,72,53.02,2019,22,"Greater Western Sydney","Western Bulldogs","Greater Western Sydney"
"48",3194,14,61.365,76.87,52.3,2019,10,"Western Bulldogs","North Melbourne","Western Bulldogs"
"49",3057,14,60.1107142857143,70.6,51.5,2019,1,"Western Bulldogs","Sydney","Sydney"
"50",3388,14,58.2664285714286,70.09,50.68,2019,24,"Geelong","Collingwood","Geelong"
"51",3268,14,58.0892857142857,70.45,50.89,2019,16,"Adelaide","Port Adelaide","Adelaide"
"52",3062,14,57.8571428571429,68.02,50.8,2019,2,"Richmond","Collingwood","Richmond"
"53",3323,14,55.7971428571429,67.58,50.9,2019,19,"St Kilda","Melbourne","Melbourne"
"54",605,13,90.7076923076923,97.71,80.2,2018,18,"Sydney","Gold Coast","Sydney"
"55",564,13,79.6015384615385,92.96,64.8,2018,15,"Melbourne","St Kilda","Melbourne"
"56",409,13,77.7676923076923,86.8,56.5,2018,4,"Adelaide","Collingwood","Adelaide"
"57",596,13,75.5953846153846,87.78,61.2,2018,17,"Hawthorn","Brisbane Lions","Hawthorn"
"58",545,13,74.9007692307692,87,62.1,2018,14,"West Coast","Essendon","West Coast"
"59",559,13,74.5853846153846,84.49,65.6,2018,15,"Western Bulldogs","Geelong","Geelong"
"60",659,13,72.0238461538462,88.5,58.1,2018,21,"Melbourne","Sydney","Melbourne"
"61",484,13,71.1438461538462,80.38,59.4,2018,9,"Essendon","Geelong","Geelong"
"62",602,13,71.0807692307692,84.5,57,2018,17,"Fremantle","Port Adelaide","Port Adelaide"
"63",658,13,69.1407692307692,88.69,59.7,2018,21,"North Melbourne","Western Bulldogs","North Melbourne"
"64",566,13,69.0292307692308,79,57.65,2018,15,"Fremantle","Brisbane Lions","Fremantle"
"65",488,13,67.4692307692308,81.05,60.2,2018,9,"Brisbane Lions","Hawthorn","Hawthorn"
"66",625,13,64.6030769230769,72.5,53.7,2018,19,"Gold Coast","Carlton","Gold Coast"
"67",2998,13,64.2207692307692,73.56,55.1,2018,26,"Richmond","Collingwood","Richmond"
"68",386,13,63.1176923076923,76.4,54.57,2018,2,"Fremantle","Essendon","Essendon"
"69",424,13,62.3392307692308,69.6,56.4,2018,5,"Port Adelaide","Geelong","Port Adelaide"
"70",465,13,62.1376923076923,70,53.7,2018,8,"Carlton","Essendon","Essendon"
"71",527,13,61.5307692307692,76.55,53,2018,12,"Melbourne","Collingwood","Melbourne"
"72",426,13,59.8984615384615,66,53.3,2018,5,"North Melbourne","Hawthorn","Hawthorn"
"73",389,13,59.0915384615385,73.67,51,2018,2,"Geelong","Hawthorn","Geelong"
"74",3166,13,58.5215384615385,70.77,50.94,2019,8,"Hawthorn","Greater Western Sydney","Greater Western Sydney"
"75",418,13,58.1961538461538,72.6,51.3,2018,4,"Essendon","Port Adelaide","Port Adelaide"
"76",3063,13,57.1384615384615,64.5,51.04,2019,2,"Sydney","Adelaide","Sydney"
"77",3309,13,55.86,62.89,51.76,2019,19,"Hawthorn","Brisbane Lions","Hawthorn"
"78",3222,13,54.6138461538462,66.7,50.06,2019,12,"Adelaide","Greater Western Sydney","Greater Western Sydney"
"79",458,12,77.1375,86.74,69,2018,7,"Sydney","North Melbourne","Sydney"
"80",520,12,69.2116666666667,80.35,56.7,2018,11,"Adelaide","Greater Western Sydney","Adelaide"
"81",504,12,68.1875,78.88,55.3,2018,10,"Greater Western Sydney","Essendon","Greater Western Sydney"
"82",388,12,67.0075,78,55,2018,2,"Sydney","Port Adelaide","Sydney"
"83",383,12,66.41,79.92,56.6,2018,2,"Carlton","Gold Coast","Carlton"
"84",382,12,65.2066666666667,82.2,50.79,2018,2,"North Melbourne","St Kilda","St Kilda"
"85",421,12,64.2116666666667,76.82,58,2018,5,"Sydney","Adelaide","Sydney"
"86",600,12,61.53,72,52.7,2018,17,"Collingwood","West Coast","Collingwood"
"87",3050,12,61.3716666666667,69.06,54,2019,1,"Collingwood","Geelong","Collingwood"
"88",644,12,61.31,69.77,53.3,2018,20,"St Kilda","Western Bulldogs","St Kilda"
"89",567,12,61.0033333333333,70,53.1,2018,16,"Sydney","Geelong","Sydney"
"90",611,12,60.7591666666667,65.5,55.3,2018,18,"Port Adelaide","Greater Western Sydney","Port Adelaide"
"91",664,12,60.0841666666667,77.3,51.1,2018,22,"Greater Western Sydney","Sydney","Greater Western Sydney"
"92",373,12,59.6733333333333,66,55.16,2018,1,"Essendon","Adelaide","Adelaide"
"93",376,12,59.4666666666667,81.5,50,2018,1,"Gold Coast","North Melbourne","North Melbourne"
"94",599,12,59.1575,69,54.3,2018,17,"Greater Western Sydney","Richmond","Richmond"
"95",3359,12,59.1341666666667,80.3,53.2,2019,22,"Melbourne","Sydney","Melbourne"
"96",407,12,58.9416666666667,66.04,50.9,2018,3,"Western Bulldogs","Essendon","Essendon"
"97",655,12,58.4641666666667,69.43,52.1,2018,21,"Port Adelaide","West Coast","Port Adelaide"
"98",387,12,58.0216666666667,85.4,51.1,2018,2,"Western Bulldogs","West Coast","Western Bulldogs"
"99",521,12,57.3866666666667,63.7,50.8,2018,12,"Port Adelaide","Richmond","Richmond"
"100",467,12,57.2325,70,51,2018,8,"Port Adelaide","Adelaide","Adelaide"
"101",3345,12,56.4683333333333,70.17,50.28,2019,21,"Essendon","Western Bulldogs","Essendon"
"102",3362,12,56.3091666666667,60.79,50.6,2019,22,"Adelaide","Collingwood","Adelaide"
"103",3114,11,67.8872727272727,88,53.2,2019,4,"Port Adelaide","Richmond","Port Adelaide"
"104",526,11,63.4509090909091,75.5,54,2018,12,"Fremantle","Adelaide","Adelaide"
"105",431,11,62.8845454545455,75.4,57.3,2018,6,"Geelong","Sydney","Geelong"
"106",464,11,61.8890909090909,65.8,55.6,2018,8,"Greater Western Sydney","West Coast","Greater Western Sydney"
"107",3223,11,59.5127272727273,73.8,50.3,2019,12,"Sydney","West Coast","West Coast"
"108",3068,11,58.8436363636364,66,51.28,2019,2,"North Melbourne","Brisbane Lions","North Melbourne"
"109",668,11,58.3927272727273,71,50.09,2018,22,"West Coast","Melbourne","West Coast"
"110",3167,11,57.5563636363636,71.52,51.98,2019,8,"Fremantle","Richmond","Fremantle"
"111",688,11,57.3754545454545,65.2,51,2018,23,"Port Adelaide","Essendon","Port Adelaide"
"112",463,11,56.4090909090909,68.5,50.2,2018,8,"Hawthorn","Sydney","Hawthorn"
"113",3106,11,56.2245454545455,69.63,51,2019,4,"Sydney","Melbourne","Sydney"
"114",3390,11,55.11,59.5,51,2019,24,"Brisbane Lions","Richmond","Brisbane Lions"
"115",427,11,54.9627272727273,59.98,50,2018,5,"Brisbane Lions","Gold Coast","Brisbane Lions"
"116",3181,11,54.7127272727273,63.8,50,2019,9,"Brisbane Lions","Adelaide","Adelaide"
"117",3115,11,53.9372727272727,59,50.01,2019,4,"North Melbourne","Adelaide","Adelaide"
"118",3048,10,60.649,68.1,51,2018,27,"West Coast","Collingwood","Collingwood"
"119",627,10,57.447,67,50.7,2018,19,"North Melbourne","West Coast","West Coast"
"120",3363,10,57.192,66.83,50.6,2019,22,"North Melbourne","Port Adelaide","Port Adelaide"
"121",643,10,54.753,59.46,52.1,2018,20,"Adelaide","Port Adelaide","Port Adelaide"
"122",3249,10,54.068,57.56,50,2019,15,"Hawthorn","West Coast","Hawthorn"
"123",565,10,53.567,56,50.5,2018,15,"Essendon","North Melbourne","North Melbourne"
"124",178,9,85.5255555555556,94.9,71.05,2017,14,"Adelaide","Hawthorn","Adelaide"
"125",215,9,85.4422222222222,92,74.58,2017,15,"Essendon","Brisbane Lions","Essendon"
"126",124,9,82.3811111111111,89.2,65.58,2017,8,"Adelaide","Melbourne","Adelaide"
"127",6,9,79.48,88,65.97,2017,1,"Essendon","Hawthorn","Hawthorn"
"128",137,9,79.3122222222222,85,66.1,2017,10,"Sydney","Hawthorn","Sydney"
"129",123,9,77.5555555555556,84,69.1,2017,8,"Essendon","Geelong","Geelong"
"130",3,9,77.04,83.8,60.08,2017,1,"Sydney","Port Adelaide","Sydney"
"131",98,9,76.7022222222222,87.2,70.22,2017,7,"North Melbourne","Adelaide","Adelaide"
"132",95,9,75.7322222222222,83.4,68.4,2017,6,"Geelong","Collingwood","Geelong"
"133",63,9,74.9511111111111,87,59.25,2017,4,"Melbourne","Fremantle","Melbourne"
"134",37,9,74.95,80,61.31,2017,3,"Sydney","Collingwood","Sydney"
"135",170,9,73.71,77.4,69.86,2017,12,"Carlton","Greater Western Sydney","Greater Western Sydney"
"136",53,9,73.0488888888889,79,68.2,2017,3,"Fremantle","Western Bulldogs","Western Bulldogs"
"137",234,9,72.2488888888889,78.8,61.86,2017,16,"North Melbourne","Fremantle","North Melbourne"
"138",125,9,71.9066666666667,80.7,55.59,2017,8,"Richmond","Fremantle","Richmond"
"139",109,9,70.1355555555556,77.7,64.54,2017,7,"Collingwood","Carlton","Collingwood"
"140",214,9,69.96,77,59.66,2017,15,"Port Adelaide","Richmond","Port Adelaide"
"141",90,9,69.3133333333333,77,52.8,2017,6,"Carlton","Sydney","Sydney"
"142",169,9,69.1811111111111,74.3,63,2017,12,"Essendon","Port Adelaide","Port Adelaide"
"143",111,9,69.0122222222222,75,62,2017,7,"Gold Coast","Geelong","Geelong"
"144",313,9,68.5866666666667,75.05,61.18,2017,22,"Carlton","Hawthorn","Hawthorn"
"145",342,9,67.9222222222222,76.7,55.3,2017,24,"Port Adelaide","West Coast","Port Adelaide"
"146",5,9,67.42,78,58.55,2017,1,"Gold Coast","Brisbane Lions","Gold Coast"
"147",133,9,67.2611111111111,75,57.6,2017,9,"Essendon","West Coast","West Coast"
"148",176,9,66.7955555555556,74.7,56.86,2017,13,"Gold Coast","Carlton","Gold Coast"
"149",78,9,66.62,73,58.27,2017,5,"Essendon","Collingwood","Collingwood"
"150",56,9,65.4011111111111,72,59,2017,3,"Gold Coast","Hawthorn","Hawthorn"
"151",110,9,65.26,81.9,52.8,2017,7,"Port Adelaide","West Coast","Port Adelaide"
"152",269,9,63.9322222222222,68.7,58.41,2017,19,"North Melbourne","Melbourne","Melbourne"
"153",308,9,62.7055555555556,69.4,53.31,2017,22,"Adelaide","Sydney","Adelaide"
"154",168,9,62.4322222222222,68.3,56.3,2017,12,"Brisbane Lions","Fremantle","Fremantle"
"155",76,9,61.4011111111111,66.61,55,2017,5,"Hawthorn","West Coast","West Coast"
"156",349,9,59.9555555555556,68.54,55,2017,25,"Geelong","Sydney","Sydney"
"157",268,9,59.7233333333333,66.28,54.9,2017,19,"Hawthorn","Sydney","Sydney"
"158",177,9,59.1377777777778,67.9,53.8,2017,13,"Western Bulldogs","Melbourne","Western Bulldogs"
"159",237,9,58.3866666666667,71.5,52.3,2017,17,"St Kilda","Essendon","St Kilda"
"160",158,9,58.29,69,51.9,2017,11,"Gold Coast","West Coast","West Coast"
"161",127,9,57.7266666666667,63.5,52.16,2017,8,"North Melbourne","Sydney","North Melbourne"
"162",267,9,56.52,61.86,51.6,2017,18,"Brisbane Lions","Carlton","Carlton"
"163",489,9,56.2322222222222,64,50.77,2018,9,"West Coast","Richmond","Richmond"
"164",67,9,55.5688888888889,60,50.2,2017,4,"Collingwood","St Kilda","Collingwood"
"165",590,9,55.1911111111111,63,52.44,2018,17,"Adelaide","Geelong","Geelong"
"166",510,9,53.6766666666667,59.2,50.97,2018,11,"Hawthorn","Port Adelaide","Port Adelaide"
"167",167,8,64.72375,71.2,53.02,2017,12,"Hawthorn","Gold Coast","Hawthorn"
"168",210,8,64.01625,73.2,55.1,2017,15,"Western Bulldogs","West Coast","Western Bulldogs"
"169",97,8,63.52625,70,56.8,2017,7,"St Kilda","Greater Western Sydney","Greater Western Sydney"
"170",317,8,61.56375,66.36,53.2,2017,23,"West Coast","Adelaide","Adelaide"
"171",197,8,60.65875,69,53.25,2017,14,"West Coast","Melbourne","West Coast"
"172",50,8,60.1475,66,51.8,2017,3,"Richmond","West Coast","West Coast"
"173",684,8,59.505,64.9,51.96,2018,23,"Sydney","Hawthorn","Sydney"
"174",10,8,58.5775,65,54.7,2017,2,"Richmond","Collingwood","Collingwood"
"175",114,8,58.235,64.6,52,2017,7,"Melbourne","Hawthorn","Melbourne"
"176",236,8,57.57375,72,50.5,2017,16,"West Coast","Port Adelaide","West Coast"
"177",277,8,57.18625,62.2,50,2017,20,"Geelong","Sydney","Geelong"
"178",258,8,56.48125,62.3,51.3,2017,18,"Melbourne","Port Adelaide","Port Adelaide"
"179",3293,8,56.4225,65.86,50.41,2019,17,"Essendon","North Melbourne","North Melbourne"
"180",3142,8,56.34,67.74,50.04,2019,6,"St Kilda","Adelaide","St Kilda"
"181",89,8,56.31125,70,51.01,2017,6,"Hawthorn","St Kilda","Hawthorn"
"182",134,8,56.2525,62.7,52.01,2017,9,"Melbourne","North Melbourne","Melbourne"
"183",3324,8,56.185,74.5,51,2019,19,"Port Adelaide","Greater Western Sydney","Port Adelaide"
"184",233,8,55.705,59.19,51.01,2017,16,"St Kilda","Richmond","Richmond"
"185",216,8,55.2725,64.7,50.72,2017,15,"Hawthorn","Collingwood","Collingwood"
"186",3228,8,54.025,62.05,50,2019,13,"Fremantle","Port Adelaide","Port Adelaide"
"187",4,8,53.46625,61.1,50,2017,1,"St Kilda","Melbourne","St Kilda"
"188",65,7,59.0442857142857,62.1,55.78,2017,4,"Carlton","Gold Coast","Carlton"
"189",209,7,57.2871428571429,61.2,51,2017,15,"Melbourne","Sydney","Melbourne"
"190",650,7,56.7514285714286,64.07,52.02,2018,21,"Hawthorn","Geelong","Geelong"
"191",2999,7,56.7442857142857,77.3,51.33,2018,26,"West Coast","Melbourne","Melbourne"
"192",332,7,56.7271428571429,70.5,51.01,2017,23,"Collingwood","Melbourne","Melbourne"
"193",302,7,56.4957142857143,60,53.51,2017,21,"Brisbane Lions","Gold Coast","Gold Coast"
"194",297,7,56.3671428571429,60.1,52.5,2017,21,"Western Bulldogs","Greater Western Sydney","Western Bulldogs"
"195",443,7,56.0771428571429,68.7,50,2018,6,"North Melbourne","Port Adelaide","North Melbourne"
"196",507,7,53.4614285714286,61.2,50.09,2018,10,"Fremantle","North Melbourne","Fremantle"
"197",173,7,52.5,54,50.8,2017,13,"North Melbourne","St Kilda","North Melbourne"
"198",129,6,59.6333333333333,72.9,53,2017,9,"St Kilda","Sydney","St Kilda"
"199",3163,6,58.6316666666667,72.8,50.3,2019,8,"St Kilda","West Coast","St Kilda"
"200",330,6,57.1733333333333,66.97,50.7,2017,23,"Brisbane Lions","North Melbourne","Brisbane Lions"
"201",55,6,57.0466666666667,78.62,50.58,2017,3,"Carlton","Essendon","Essendon"
"202",250,6,56.3283333333333,65.6,52,2017,17,"Gold Coast","Collingwood","Gold Coast"
"203",155,6,56.2466666666667,63.11,51.01,2017,10,"West Coast","Greater Western Sydney","West Coast"
"204",447,6,56,61.83,52.17,2018,6,"Essendon","Melbourne","Essendon"
"205",265,6,55.695,63.74,52.03,2017,18,"Richmond","Greater Western Sydney","Greater Western Sydney"
"206",506,6,55.335,64,50,2018,10,"Melbourne","Adelaide","Adelaide"
"207",3244,6,54.985,60.23,51,2019,14,"St Kilda","Brisbane Lions","St Kilda"
"208",607,6,54.6916666666667,58.5,51,2018,18,"Brisbane Lions","Adelaide","Brisbane Lions"
"209",338,6,54.5416666666667,63.44,50,2017,24,"Geelong","Richmond","Geelong"
"210",309,6,54.2033333333333,56.9,51.28,2017,22,"Western Bulldogs","Port Adelaide","Western Bulldogs"
"211",230,6,53.765,58.4,50.52,2017,16,"Collingwood","Essendon","Collingwood"
"212",157,6,53.7266666666667,56.9,50.91,2017,11,"Geelong","Adelaide","Adelaide"
"213",601,6,53.6633333333333,58.33,50.3,2018,17,"North Melbourne","Sydney","North Melbourne"
"214",3164,6,53.2116666666667,56.68,50.3,2019,8,"Port Adelaide","Adelaide","Port Adelaide"
"215",3328,6,52.0333333333333,54.73,50.4,2019,20,"North Melbourne","Hawthorn","Hawthorn"
"216",371,5,64.626,85.3,56.7,2017,27,"Adelaide","Richmond","Adelaide"
"217",645,5,58.362,63.8,53.51,2018,20,"Sydney","Collingwood","Collingwood"
"218",3360,5,58.206,61.21,51.66,2019,22,"Carlton","St Kilda","St Kilda"
"219",2954,5,55.18,58.7,52,2018,24,"Sydney","Greater Western Sydney","Sydney"
"220",163,5,54.628,56.02,52.14,2017,11,"North Melbourne","Richmond","North Melbourne"
"221",626,5,54.584,56,53,2018,19,"Adelaide","Melbourne","Adelaide"
"222",333,5,54.104,64.1,50,2017,23,"Hawthorn","Western Bulldogs","Western Bulldogs"
"223",642,5,53.872,54.9,52.82,2018,20,"Brisbane Lions","North Melbourne","Brisbane Lions"
"224",194,5,53.538,57.3,50,2017,14,"Collingwood","Port Adelaide","Collingwood"
"225",3389,5,53.534,56.1,50.67,2019,24,"Greater Western Sydney","Western Bulldogs","Western Bulldogs"
"226",3101,5,53.396,60.68,50,2019,3,"Brisbane Lions","Port Adelaide","Port Adelaide"
"227",530,5,53.036,55.98,50.7,2018,13,"Carlton","Fremantle","Carlton"
"228",525,5,52.94,55.5,51,2018,12,"Brisbane Lions","Essendon","Brisbane Lions"
"229",377,5,51.5,55.6,50,2018,1,"Hawthorn","Collingwood","Collingwood"
"230",3306,4,59.98,66.54,52.68,2019,18,"Melbourne","West Coast","Melbourne"
"231",482,4,56.725,64,50.9,2018,9,"North Melbourne","Greater Western Sydney","Greater Western Sydney"
"232",419,4,56.4875,61,52.9,2018,4,"Hawthorn","Melbourne","Melbourne"
"233",174,4,56.465,60.6,50.46,2017,13,"Richmond","Sydney","Richmond"
"234",74,4,56.215,60,53.98,2017,5,"Fremantle","North Melbourne","North Melbourne"
"235",3304,4,55.37,58,51,2019,18,"Fremantle","Sydney","Sydney"
"236",621,4,55.025,56,54,2018,19,"Essendon","Sydney","Sydney"
"237",274,4,55.02,56.41,53.73,2017,19,"Western Bulldogs","Essendon","Essendon"
"238",3160,4,53.84,56.43,51.6,2019,8,"Western Bulldogs","Brisbane Lions","Brisbane Lions"
"239",3067,4,53.4975,56.8,50.01,2019,2,"West Coast","Greater Western Sydney","Greater Western Sydney"
"240",3205,4,52.11,55.3,50.4,2019,11,"Brisbane Lions","Hawthorn","Hawthorn"
"241",631,4,51.5825,53.03,50.4,2018,20,"Hawthorn","Essendon","Essendon"
"242",251,4,51.5575,52.3,50.2,2017,17,"Greater Western Sydney","Sydney","Greater Western Sydney"
"243",379,3,63.7466666666667,82.9,51.93,2018,1,"Melbourne","Geelong","Melbourne"
"244",3060,3,60.5966666666667,66.5,55.4,2019,1,"Greater Western Sydney","Essendon","Essendon"
"245",3308,3,57.3733333333333,58.54,56,2019,19,"Collingwood","Richmond","Collingwood"
"246",608,3,56.4333333333333,60.8,52.4,2018,18,"Geelong","Melbourne","Melbourne"
"247",561,3,56.3,61.6,50,2018,15,"Adelaide","West Coast","West Coast"
"248",403,3,56.1566666666667,60.77,50.9,2018,3,"Gold Coast","Fremantle","Gold Coast"
"249",3088,3,56.1233333333333,60.67,51,2019,3,"Adelaide","Geelong","Adelaide"
"250",3120,3,55.35,58.96,50.49,2019,5,"North Melbourne","Essendon","North Melbourne"
"251",172,3,55.3233333333333,57.57,51,2017,13,"West Coast","Geelong","Geelong"
"252",171,3,55.1,60.3,51,2017,12,"Melbourne","Collingwood","Collingwood"
"253",3361,3,54.8866666666667,60.6,51.8,2019,22,"Brisbane Lions","Geelong","Geelong"
"254",266,3,54.83,57.9,51,2017,18,"Collingwood","West Coast","West Coast"
"255",7,3,54.7033333333333,60.9,51.01,2017,1,"North Melbourne","West Coast","North Melbourne"
