"","id","first_name","surname","debut","sum_disp","sum_score","ratio"
"1",10978,"Rino","Pretto",1978-08-12,1,6,6
"2",10997,"Dean","Ross",1979-06-18,1,6,6
"3",11283,"Scott","Morphett",1985-08-31,1,6,6
"4",10853,"Michael","Cooke",1975-09-13,6,24,4
"5",11157,"Grant","ORiley",1982-07-17,9,32,3.55555555555556
"6",990,"Tony","Lockett",1983-04-16,2867,8750,3.05197070108127
"7",11364,"Jamie","Shaw",1987-08-01,11,32,2.90909090909091
"8",1517,"Simon","Beasley",1982-03-27,1299,3771,2.90300230946882
"9",10660,"Jack","Newton",1971-05-01,79,215,2.72151898734177
"10",1834,"Mark","Jackson",1981-03-28,732,1992,2.72131147540984
"11",1403,"Brian","Taylor",1980-08-09,1283,3451,2.68978955572876
"12",11430,"Richard","Lounder",1989-04-30,12,32,2.66666666666667
"13",14,"Tony","Modra",1992-04-11,1448,3836,2.64917127071823
"14",632,"Jason","Dunstall",1985-04-08,3207,8165,2.54599314000624
"15",10863,"John","Frazer",1976-04-24,96,241,2.51041666666667
"16",10933,"Gerard","FitzGerald",1977-07-02,10,25,2.5
"17",11168,"Anthony","Russell",1982-07-24,46,112,2.43478260869565
"18",1030,"Peter","Sumich",1989-03-31,1433,3438,2.39916259595255
"19",449,"Allen","Jakovich",1991-03-24,595,1421,2.38823529411765
"20",11246,"Dale","Woodhall",1984-03-31,92,219,2.3804347826087
"21",315,"Scott","Cummings",1994-06-26,968,2275,2.35020661157025
"22",11493,"Jamie","Bond",1991-07-13,3,7,2.33333333333333
"23",10656,"Max","Parker",1971-06-26,17,39,2.29411764705882
"24",2093,"Warren","Ralph",1984-03-31,208,473,2.27403846153846
"25",1898,"Bob","Beecroft",1976-04-03,845,1888,2.23431952662722
"26",2329,"Ray","Carr",1970-04-04,163,364,2.23312883435583
"27",10884,"Max","George",1976-06-14,65,142,2.18461538461538
"28",10860,"Bruce","Gonsalves",1975-08-09,24,52,2.16666666666667
"29",12102,"Tim","McIntyre",2012-07-07,6,13,2.16666666666667
"30",10998,"Malcolm","Scott",1979-07-07,89,189,2.12359550561798
"31",453,"Simon","Minton-Connell",1989-07-15,959,2033,2.11991657977059
"32",11199,"Daryl","Gilmore",1983-04-16,9,19,2.11111111111111
"33",1927,"Shane","Loveless",1979-04-07,218,460,2.11009174311927
"34",11465,"Shane","Fell",1990-03-31,95,200,2.10526315789474
"35",11438,"Phillip","OKeeffe",1989-04-01,58,122,2.10344827586207
"36",1578,"Warwick","Capper",1983-06-25,1225,2563,2.09224489795918
"37",12310,"Spencer","White",2014-08-24,12,25,2.08333333333333
"38",11107,"Leo","King",1981-05-03,26,54,2.07692307692308
"39",228,"Saverio","Rocca",1992-06-21,2360,4899,2.07584745762712
"40",1678,"Larry","Donohue",1973-04-07,1074,2225,2.07169459962756
"41",1318,"Darren","Bennett",1987-03-29,699,1442,2.06294706723891
"42",10629,"Malcolm","Greenslade",1971-04-17,22,45,2.04545454545455
"43",1078,"Troy","Wilson",2001-04-01,272,554,2.03676470588235
"44",240,"Andrew","Tranquilli",1993-08-07,68,137,2.01470588235294
"45",4101,"Tim","Walsh",2005-05-14,3,6,2
"46",12094,"Sam","Schulz",2012-06-16,3,6,2
"47",958,"Jason","Heatley",1995-06-04,557,1107,1.98743267504488
"48",1676,"Ross","Ditchburn",1982-05-15,297,588,1.97979797979798
"49",1998,"Michael","Moncrieff",1971-04-10,2163,4140,1.91400832177531
"50",11601,"Geoff","Linke",1982-04-03,11,21,1.90909090909091
"51",196,"Brendan","Fevola",1999-07-25,2194,4140,1.8869644484959
"52",613,"Marcus","Baldwin",2000-07-30,17,32,1.88235294117647
"53",10682,"Michael","Hawking",1972-05-27,16,30,1.875
"54",2210,"Kelvin","Templeton",1974-04-20,2082,3893,1.86983669548511
"55",1143,"Nathan","Saunders",2002-05-04,38,71,1.86842105263158
"56",2201,"Glenn","Swan",1973-04-07,75,140,1.86666666666667
"57",789,"Julian","Kirzner",1994-09-03,22,41,1.86363636363636
"58",11600,"Djaran","Whyman",2007-07-22,14,26,1.85714285714286
"59",2122,"John","Roberts",1980-03-29,483,896,1.85507246376812
"60",567,"Gary","Ablett",1982-04-03,3747,6870,1.83346677341874
"61",10857,"Murrie","Batt",1975-06-07,50,91,1.82
"62",10760,"Wayne","Bevan",1973-04-14,133,242,1.81954887218045
"63",156,"James","Cook",1994-03-27,509,918,1.80353634577603
"64",42,"Scott","Hodges",1991-03-31,367,656,1.7874659400545
"65",1870,"Greg","Kennedy",1972-04-01,543,963,1.77348066298343
"66",3305,"Shane","McGrath",1984-08-25,4,7,1.75
"67",10861,"Ray","Saltmarsh",1975-07-19,4,7,1.75
"68",11405,"David","Brown",1988-05-08,71,123,1.73239436619718
"69",11048,"Greg","Flanegan",1980-08-09,11,19,1.72727272727273
"70",2114,"Michael","Roach",1977-05-21,2295,3948,1.7202614379085
"71",1088,"Derek","Wirth",1998-08-01,7,12,1.71428571428571
"72",336,"Matthew","Lloyd",1995-07-08,3522,5980,1.69789892106758
"73",10680,"Phil","Doherty",1972-07-22,75,127,1.69333333333333
"74",11409,"Justin","Stubbs",1988-06-18,21,35,1.66666666666667
"75",11269,"Robert","Saggers",1985-07-27,29,48,1.6551724137931
"76",841,"Paul","Evans",1998-05-02,23,38,1.65217391304348
"77",11324,"Peter","Kenny",1986-03-31,81,131,1.61728395061728
"78",11446,"Mark","Bayliss",1989-05-13,28,45,1.60714285714286
"79",1117,"Mark","Williams",2002-04-01,1026,1609,1.5682261208577
