Date,Western Bulldogs,Fremantle Football Club,West Coast Eagles,Adelaide Football Club,Port Adelaide Football Club,Brisbane Lions,Gold Coast Football Club,Sydney Swans,Greater Western Sydney Giants,Collingwood Football Club,Hawthorn Football Club,Carlton Football Club,Melbourne Football Club,St Kilda Football Club,North Melbourne Football Club,Geelong Football Club,Essendon Football Club,Richmond Football Club
18/01/2015,2,1,2,2,2,1,1,2,1,4,3,3,1,2,2,2,5,1
25/01/2015,2,1,1,2,2,1,1,2,1,4,3,4,1,2,2,2,6,2
1/02/2015,2,2,2,2,3,2,1,2,1,4,3,3,1,2,2,2,6,2
8/02/2015,2,2,2,3,3,2,1,2,1,4,3,3,2,3,2,1,6,2
15/02/2015,2,2,5,3,3,2,1,2,1,5,3,4,2,3,3,2,7,3
22/02/2015,4,2,4,3,3,3,2,3,1,10,8,6,2,4,3,3,7,5
1/03/2015,2,3,3,5,4,3,2,4,2,5,3,4,3,4,5,3,9,3
8/03/2015,3,2,4,3,6,2,1,3,2,6,4,5,3,3,3,5,8,4
15/03/2015,4,4,3,6,5,3,2,5,1,9,5,8,3,4,4,3,8,4
22/03/2015,3,5,5,3,4,2,1,4,2,6,4,7,2,3,3,5,10,5
29/03/2015,5,5,6,6,6,7,3,14,2,18,7,17,6,3,5,6,33,16
5/04/2015,8,10,11,15,13,4,3,11,5,13,16,11,5,6,7,13,11,9
12/04/2015,5,8,5,10,8,6,2,10,4,15,12,12,4,8,8,7,25,7
19/04/2015,5,15,8,6,11,4,4,10,2,18,10,9,6,6,4,8,20,9
26/04/2015,9,5,7,9,7,5,3,9,3,17,9,12,3,4,9,9,10,7
3/05/2015,6,10,4,9,9,3,3,6,4,14,8,5,5,7,6,10,13,5
10/05/2015,4,6,9,7,8,5,2,9,4,9,6,11,3,6,8,7,15,5
17/05/2015,5,9,6,6,7,5,3,10,4,13,8,10,3,4,5,7,9,8
24/05/2015,6,9,6,9,9,4,2,14,4,9,7,19,5,3,5,5,14,12
31/05/2015,5,13,10,7,7,4,3,10,2,12,6,8,3,4,7,8,11,10
7/06/2015,3,6,9,4,9,3,2,6,3,13,6,6,5,5,7,8,10,4
14/06/2015,4,4,9,9,7,4,1,5,5,11,9,7,4,5,4,5,8,8
21/06/2015,4,9,4,6,5,4,2,10,1,13,9,6,5,5,3,7,10,8
28/06/2015,5,5,6,46,8,3,7,9,3,14,11,10,3,4,4,5,8,8
5/07/2015,5,7,8,16,9,4,3,5,2,12,6,8,4,6,5,5,13,9
12/07/2015,5,9,8,8,5,6,2,9,2,10,11,6,3,4,6,6,9,4
19/07/2015,4,8,6,15,7,4,2,5,3,8,10,8,4,5,4,6,8,10
26/07/2015,6,5,11,6,4,3,2,13,1,12,12,6,5,5,5,5,7,12
2/08/2015,7,7,10,8,6,3,2,10,2,10,8,7,3,4,4,8,8,8
9/08/2015,4,9,7,6,6,4,1,9,3,12,8,6,3,4,5,8,11,4
16/08/2015,7,12,14,7,7,4,3,6,3,10,9,7,4,5,4,6,13,9
23/08/2015,7,6,10,7,5,2,2,5,2,11,6,9,3,4,8,9,9,7
30/08/2015,6,9,11,11,7,4,2,7,2,8,6,7,3,5,10,8,7,9
6/09/2015,12,19,25,13,4,3,1,14,2,9,18,7,3,3,7,6,12,9
13/09/2015,5,8,9,20,4,2,1,15,1,7,18,6,3,3,22,3,8,13
20/09/2015,3,35,34,7,3,2,1,5,1,6,30,5,2,3,21,5,8,3
27/09/2015,3,10,42,5,4,3,1,4,2,7,43,6,3,3,7,4,8,4
4/10/2015,2,4,7,4,3,2,1,3,1,6,15,4,2,3,3,4,7,4
11/10/2015,2,3,4,4,3,2,1,3,1,7,11,5,2,3,3,5,7,2
18/10/2015,2,3,3,3,3,2,1,3,2,8,15,7,2,3,3,2,7,3
25/10/2015,1,2,2,3,2,1,1,2,1,4,4,3,1,2,2,2,6,2
1/11/2015,1,2,2,2,2,1,1,1,1,3,3,3,1,2,2,2,5,2
8/11/2015,1,2,2,2,2,2,1,1,1,4,3,4,3,2,2,2,6,2
15/11/2015,1,2,1,2,2,1,1,2,1,3,3,3,1,2,2,2,5,2
22/11/2015,2,2,3,3,3,2,1,2,1,5,4,6,2,3,2,3,8,4
29/11/2015,2,2,2,2,2,1,1,2,1,5,4,4,1,3,3,2,5,3
6/12/2015,2,2,2,2,3,1,1,2,1,3,4,3,2,2,3,2,5,3
13/12/2015,1,2,2,2,3,1,1,2,1,4,3,4,1,2,3,2,7,2
20/12/2015,1,1,2,2,2,1,1,1,1,3,3,3,1,2,2,2,5,2
27/12/2015,1,1,1,2,2,1,1,1,1,3,2,3,1,2,1,2,4,2
