Rank,Win.Points,Loss.Points,n.win,n.loss,total
1,72,62,404,368,772
2,99,73,349,423,772
3,87,54,431,300,731
4,68,62,362,368,730
5,83,55,427,298,725
6,84,55,420,298,718
7,101,89,329,377,706
8,87,50,431,249,680
9,105,62,310,368,678
10,104,64,338,340,678
11,63,60,343,328,671
12,87,49,431,237,668
13,81,59,390,276,666
14,76,50,415,249,664
15,108,74,262,399,661
16,73,49,423,237,660
17,108,70,262,397,659
18,111,94,249,401,650
19,80,48,422,227,649
20,110,98,290,353,643
21,106,64,296,340,636
22,116,78,212,422,634
23,79,43,453,171,624
24,87,44,431,193,624
25,93,50,375,249,624
26,109,62,256,368,624
27,115,76,208,415,623
28,107,64,282,340,622
29,68,53,362,258,620
30,77,48,392,227,619
31,76,45,415,202,617
32,73,44,423,193,616
33,110,61,290,326,616
34,112,89,237,377,614
35,100,50,357,249,606
36,79,42,453,152,605
37,62,52,368,237,605
38,108,63,262,343,605
39,71,46,403,201,604
40,82,47,420,184,604
41,118,71,199,403,602
42,118,85,199,401,600
43,68,52,362,237,599
44,55,54,298,300,598
45,115,81,208,390,598
46,94,44,401,193,594
47,106,55,296,298,594
48,81,45,390,202,592
49,82,43,420,171,591
50,98,52,353,237,590
51,64,50,340,249,589
52,111,64,249,340,589
53,121,73,166,423,589
54,79,40,453,135,588
55,112,66,237,351,588
56,79,38,453,134,587
57,128,79,134,453,587
58,99,49,349,237,586
59,114,77,194,392,586
60,75,41,425,159,584
61,90,45,382,202,584
62,81,44,390,193,583
63,127,87,152,431,583
64,73,41,423,159,582
65,117,93,207,375,582
66,63,52,343,237,580
67,84,41,420,159,579
68,124,78,154,422,576
69,73,42,423,152,575
70,127,80,152,422,574
71,123,85,173,401,574
72,123,94,173,401,574
73,123,74,173,399,572
74,127,84,152,420,572
75,108,105,262,310,572
76,74,43,399,171,570
77,123,70,173,397,570
78,57,53,309,258,567
79,119,65,211,356,567
80,87,40,431,135,566
81,102,59,290,276,566
82,115,96,208,358,566
83,121,74,166,399,565
84,131,79,110,453,563
85,80,39,422,138,560
86,94,41,401,159,560
87,91,45,358,202,560
