"day_of_week","id","first_name","surname","n","teams"
"Thu",43,"Kane","Johnson",1,"Richmond"
"Thu",55,"Clay","Sampson",1,"Richmond"
"Thu",78,"Matthew","Clarke",1,"St Kilda"
"Thu",163,"Ben","Harrison",1,"Richmond"
"Thu",171,"Aaron","Hamill",3,"St Kilda"
"Thu",237,"Aaron","James",1,"Richmond"
"Thu",269,"Clinton","King",2,"Richmond"
"Thu",399,"John","Rombotis",1,"Richmond"
"Thu",425,"Leon","Cameron",2,"Richmond"
"Thu",452,"Nathan","Brown",2,"Richmond"
"Thu",456,"Stephen","Powell",1,"St Kilda"
"Thu",593,"Adam","Houlihan",1,"Richmond"
"Thu",743,"Troy","Simmonds",3,"Richmond"
"Thu",854,"Cain","Ackland",3,"St Kilda"
"Thu",861,"Duncan","Kellaway",1,"Richmond"
"Thu",864,"Matthew","Rogers",2,"Richmond"
"Thu",865,"Matthew","Knights",2,"Richmond"
"Thu",866,"Mark","Merenda",1,"Richmond"
"Thu",868,"Brendon","Gale",1,"Richmond"
"Thu",869,"Wayne","Campbell",2,"Richmond"
"Thu",870,"Matthew","Richardson",3,"Richmond"
"Thu",873,"Nick","Daffy",1,"Richmond"
"Thu",876,"David","Bourke",1,"Richmond"
"Thu",883,"Jason","Torney",2,"Richmond"
"Thu",886,"Darren","Gaspar",2,"Richmond"
"Thu",890,"Joel","Bowden",4,"Richmond"
"Thu",897,"Brad","Ottens",2,"Richmond"
"Thu",899,"Andrew","Kellaway",2,"Richmond"
"Thu",901,"Greg","Tivendale",2,"Richmond"
"Thu",902,"Rory","Hilton",1,"Richmond"
"Thu",903,"Marc","Dragicevic",1,"Richmond"
"Thu",904,"Ray","Hall",1,"Richmond"
"Thu",909,"Ty","Zantuck",1,"Richmond"
"Thu",911,"Aaron","Fiora",4,"Richmond, St Kilda"
"Thu",913,"Ben","Holland",2,"Richmond"
"Thu",914,"Steven","Sziller",1,"Richmond"
"Thu",915,"Andrew","Krakouer",1,"Richmond"
"Thu",917,"Kayne","Pettifer",1,"Richmond"
"Thu",918,"Danny","Frawley",1,"St Kilda"
"Thu",921,"Justin","Peckett",1,"St Kilda"
"Thu",929,"Austinn","Jones",1,"St Kilda"
"Thu",930,"Robert","Harvey",4,"St Kilda"
"Thu",955,"Max","Hudghton",4,"St Kilda"
"Thu",957,"Andrew","Thompson",4,"St Kilda"
"Thu",966,"Lenny","Hayes",5,"St Kilda"
"Thu",967,"Steven","Baker",5,"St Kilda"
"Thu",971,"Troy","Schwarze",2,"St Kilda"
"Thu",974,"Jason","Blake",4,"St Kilda"
"Thu",975,"Brett","Voss",3,"St Kilda"
"Thu",976,"Fraser","Gehrig",4,"St Kilda"
"Thu",977,"Justin","Koschitzke",4,"St Kilda"
"Thu",978,"Stephen","Milne",5,"St Kilda"
"Thu",981,"Nick","Riewoldt",5,"St Kilda"
"Thu",990,"Tony","Lockett",1,"St Kilda"
"Thu",994,"Greg","Stafford",1,"Richmond"
"Thu",1051,"Ben","Cousins",2,"Richmond"
"Thu",1104,"David","Rodan",1,"Richmond"
"Thu",1114,"Jordan","McMahon",2,"Richmond"
"Thu",1116,"Graham","Polak",1,"Richmond"
"Thu",1123,"Shane","Birss",1,"St Kilda"
"Thu",1127,"Xavier","Clarke",2,"St Kilda"
"Thu",1128,"Mark","McGough",1,"St Kilda"
"Thu",1132,"Nick","Dal Santo",6,"St Kilda"
"Thu",1136,"Matt","Maguire",3,"St Kilda"
"Thu",1137,"Leigh","Montagna",4,"St Kilda"
"Thu",1149,"Brad","Miller",1,"Richmond"
"Thu",1150,"Chris","Newman",9,"Richmond"
"Thu",1214,"Allan","Murray",1,"St Kilda"
"Thu",1345,"Andrew","Manning",1,"St Kilda"
"Thu",1391,"Geoff","Cunningham",1,"St Kilda"
"Thu",1430,"Luke","Ball",2,"St Kilda"
"Thu",1432,"Adam","Schneider",1,"St Kilda"
"Thu",1443,"Brendon","Goddard",5,"St Kilda"
"Thu",1451,"Jay","Schulz",2,"Richmond"
"Thu",1462,"Jason","Gram",4,"St Kilda"
"Thu",1477,"Geoff","Ablett",1,"St Kilda"
