"","season","round","id","first_name","surname","kicks","handballs"
"1",2001,"13",385,"Chris","Johnson",20,1
"2",2001,"18",1012,"Adam","Goodes",20,1
"3",2003,"SF",339,"Scott","Lucas",20,3
"4",2004,"12",1065,"Andrew","Embley",20,4
"5",2004,"6",201,"Ryan","Houlihan",20,4
"6",2004,"20",352,"Dean","Solomon",20,4
"7",2004,"7",421,"Brad","Johnson",20,4
"8",2005,"6",523,"Jess","Sinclair",20,5
"9",2005,"7",755,"Scott","Thompson",20,5
"10",2005,"8",22,"Ben","Hart",20,5
"11",2005,"15",68,"Brett","Burton",20,5
"12",2005,"19",143,"Scott","Camporeale",20,5
"13",2005,"22",217,"Nathan","Buckley",20,5
"14",2005,"21",734,"Guy","Rigoni",20,5
"15",2005,"3",624,"Josh","Hunt",20,5
"16",2005,"10",737,"Nathan","Brown",20,5
"17",2005,"15",1051,"Ben","Cousins",20,5
"18",2005,"15",1053,"David","Wirrpanda",20,5
"19",2006,"5",847,"Chad","Cornes",20,6
"20",2006,"10",4132,"Heath","Shaw",20,6
"21",2006,"8",1058,"Michael","Braun",20,6
"22",2006,"15",921,"Justin","Peckett",20,6
"23",2006,"10",1134,"Luke","Hodge",20,6
"24",2006,"6",851,"Josh","Carr",20,6
"25",2006,"15",1106,"Jimmy","Bartel",20,6
"26",2006,"1",1053,"David","Wirrpanda",20,6
"27",2007,"7",3939,"Brent","Stanton",20,7
"28",2007,"4",621,"Corey","Enright",20,7
"29",2007,"10",1137,"Leigh","Montagna",20,7
"30",2007,"QF",780,"Adam","Simpson",20,7
"31",2007,"5",747,"Cameron","Bruce",20,7
"32",2007,"14",4106,"Josh","Drummond",20,7
"33",2008,"19",30,"Andrew","McLeod",20,8
"34",2008,"2",1137,"Leigh","Montagna",20,8
"35",2008,"18",852,"Brent","Guerra",20,8
"36",2008,"12",4106,"Josh","Drummond",20,8
"37",2008,"18",1024,"Ryan","OKeefe",20,8
"38",2008,"17",4115,"Ryan","Crowley",20,8
"39",2008,"18",11583,"Travis","Boak",20,8
"40",2009,"13",291,"Rhyce","Shaw",20,9
"41",2009,"2",301,"Alan","Didak",20,9
"42",2009,"15",3939,"Brent","Stanton",20,9
"43",2009,"17",1462,"Jason","Gram",20,9
"44",2009,"SF",471,"Lindsay","Gilbee",20,9
"45",2010,"10",3975,"Sam","Fisher",20,10
"46",2010,"9",1106,"Jimmy","Bartel",20,10
"47",2010,"2",1135,"Sam","Mitchell",20,10
"48",2010,"17",1106,"Jimmy","Bartel",20,10
"49",2010,"19",1432,"Adam","Schneider",20,10
"50",2011,"18",1132,"Nick","Dal Santo",20,11
"51",2011,"11",4152,"Dale","Thomas",20,11
"52",2011,"15",4152,"Dale","Thomas",20,11
"53",2011,"18",1460,"Dane","Swan",20,11
"54",2011,"11",1135,"Sam","Mitchell",20,11
"55",2011,"1",621,"Corey","Enright",20,11
"56",2011,"4",3981,"Colin","Sylvia",20,11
"57",2012,"10",11700,"Patrick","Dangerfield",20,12
"58",2012,"7",11729,"David","Zaharakis",20,12
"59",2012,"17",11707,"Jack","Grimes",20,12
"60",2013,"10",1083,"Simon","Black",20,13
"61",2013,"7",4080,"Ryan","Griffen",20,13
"62",2013,"22",11787,"Tom","Rockliff",20,13
"63",2014,"15",755,"Scott","Thompson",20,14
"64",2014,"EF",11896,"Dyson","Heppell",20,14
"65",2014,"5",1140,"Steve","Johnson",20,14
"66",2014,"22",4151,"Bernie","Vince",20,14
"67",2015,"19",11538,"Joel","Selwood",20,15
"68",2015,"3",11728,"Dayne","Beams",20,15
"69",2016,"23",12054,"Adam","Treloar",20,16
"70",2016,"8",12093,"Sam","Gibson",20,16
"71",2017,"GF",12258,"Matt","Crouch",20,17
"72",2018,"3",11834,"Nat","Fyfe",20,18
"73",2018,"8",11835,"Ben","Cunnington",20,18
"74",2018,"22",11728,"Dayne","Beams",20,18
